country;year;season;env;location;rep;plot;gen;check;yield;prot;oil;plant;harvest;lat;lon;elev
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;77;S11395120;No;869.59;33.66;22.65;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;78;TGx200223DM;No;669.53;37.68;24.04;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;79;TGx200124DM;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;80;MAKSOY1N;No;1035.91;38.03;23.16;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;81;TGx200214DM;No;1034.61;33.82;24.87;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;82;MAKSOY3N;No;2010.24;41.07;21.81;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;83;TGx20018DM;No;1460.3;35.89;24.08;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;84;Makwacha;Yes;1922.85;39.65;23.07;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;85;MRIDINA;No;76.17;37.65;23.98;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;86;TGx198762F;No;1219.26;37.01;22.46;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;87;NASOKO;Yes;1241.48;41.25;19.86;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;88;S1075693;No;1854.17;39.66;24.38;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;89;SalintuyaI;No;780.09;43.03;19.21;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;90;TGx198960F;No;579.01;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;91;Kaleya;No;986.14;41.36;23.11;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;92;TGx20011DM;No;930.56;41.87;21.06;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;93;MAKSOY2N;No;560.35;39.19;24.5;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;94;TGx201419FM;No;2368.42;42.11;20.94;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;95;Quarshie;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;96;MAKSOY4N;No;533.75;40.49;21.54;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;97;TGx200110DM;No;512.78;43.16;20.2;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;98;SuongPungun;No;52.04;0;0;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;3;99;Afayak;No;562.31;41.48;20.43;2018-01-02;2018-01-06;-9.926433;33.909217;469
